id,name,localized_city,localized_neighborhood,city,public_address,lat,lng,preview_amenities,reviews_count,person_capacity,bathrooms,bedrooms,beds,guest_label,property_type_id,room_and_property_type,room_type,tier_id,kicker_content_messages,picture_count,star_rationg,user_first_name,user_has_profile_pic,user_is_superhost,cancel_policy,room_type_category,can_instant_book,night_cost,night_cost_with_fees,monthly_price_factor,rate_type,fees,link
44112646,Peggy’s Place at Good Cottages,Lisburn and Castlereagh,0,Lisburn and Castlereagh,"Lisburn and Castlereagh, Northern Ireland, United Kingdom",54.51554,-6.20771,"Free parking,Wifi,Kitchen,Washer",2,4,2.0,2,4,4 guests,60,Entire cottage,Entire home/apt,0,Entire cottage,21,0.0, ,True,False,CANCEL_FLEXIBLE,entire_home,False,95.0,95.0,1.0,nightly,0.0,https://www.airbnb.co.uk/rooms/44112646?&check_in=2022-02-15&check_out=2022-02-16
38384570,Mountain view,Newtownabbey,0,Newtownabbey,"Newtownabbey, Northern Ireland, United Kingdom",54.75076,-6.03622,"Free parking,Wifi",0,3,1.5,1,1,3 guests,3,Private room in bed and breakfast,Private room,0,Private room,18,0.0, ,True,False,CANCEL_FLEXIBLE,private_room,False,95.0,95.0,1.0,nightly,0.0,https://www.airbnb.co.uk/rooms/38384570?&check_in=2022-02-15&check_out=2022-02-16
7712156,Apt In Titanic Quarter with Balcony Tourism Board Certified.,Belfast,0,Belfast,"Belfast, Belfast, United Kingdom",54.60441,-5.91118,"Free parking,Wifi,Kitchen,Washer",402,2,1.0,1,1,2 guests,1,Entire rental unit,Entire home/apt,1,Verified,33,5.0, ,True,True,CANCEL_MODERATE,entire_home,True,98.0,98.0,0.75,nightly,0.0,https://www.airbnb.co.uk/rooms/7712156?&check_in=2022-02-15&check_out=2022-02-16
49859400,Luxurious 1BR Apt; Prime Location w/ Top Amenities,Belfast,0,Belfast,"Belfast, Northern Ireland, United Kingdom",54.59068,-5.94114,"Free parking,Wifi,Kitchen,Washer",35,2,1.0,1,1,2 guests,37,Entire condominium (condo),Entire home/apt,0,Entire condominium (condo),1,5.0, ,True,False,CANCEL_MODERATE,entire_home,True,97.0,97.0,0.65,nightly,0.0,https://www.airbnb.co.uk/rooms/49859400?&check_in=2022-02-15&check_out=2022-02-16
41261563,Luxury 2BR/BA Townhouse; Perfect for Winter Stay!,Belfast,0,Belfast,"Belfast, Northern Ireland, United Kingdom",54.58376,-5.95091,"Wifi,Kitchen",40,4,2.0,2,2,4 guests,2,Entire residential home,Entire home/apt,0,Entire residential home,14,5.0, ,True,False,CANCEL_MODERATE,entire_home,True,97.0,97.0,0.7,nightly,0.0,https://www.airbnb.co.uk/rooms/41261563?&check_in=2022-02-15&check_out=2022-02-16
37733559,Lovely 1BR Apt w/ Best Views in Belfast!,Belfast,0,Belfast,"Belfast, Northern Ireland, United Kingdom",54.58602,-5.94498,"Free parking,Wifi,Kitchen,Washer",17,2,1.0,1,1,2 guests,1,Entire rental unit,Entire home/apt,0,Entire rental unit,1,5.0, ,True,False,CANCEL_MODERATE,entire_home,True,97.0,97.0,0.8,nightly,0.0,https://www.airbnb.co.uk/rooms/37733559?&check_in=2022-02-15&check_out=2022-02-16
38169939,City Centre Penthouse with parking and balcony,Belfast,0,Belfast,"Belfast, Northern Ireland, United Kingdom",54.59226,-5.92731,"Free parking,Wifi,Kitchen,Washer",38,4,1.0,2,3,4 guests,1,Entire rental unit,Entire home/apt,0,Entire rental unit,50,5.0, ,True,True,CANCEL_STRICT_14_WITH_GRACE_PERIOD,entire_home,False,97.0,97.0,0.7,nightly,0.0,https://www.airbnb.co.uk/rooms/38169939?&check_in=2022-02-15&check_out=2022-02-16
45779675,Bright & Airy 2BR/2 Bath Apt in Perfect Location,Belfast,0,Belfast,"Belfast, Northern Ireland, United Kingdom",54.59101,-5.93125,"Free parking,Wifi,Kitchen,Washer",31,4,2.0,2,3,4 guests,1,Entire rental unit,Entire home/apt,0,Entire rental unit,24,4.5, ,True,False,CANCEL_MODERATE,entire_home,True,97.0,97.0,0.8,nightly,0.0,https://www.airbnb.co.uk/rooms/45779675?&check_in=2022-02-15&check_out=2022-02-16
47813471,Lovely 2 BR Apt at Ormeau Park W/ Free Parking,Belfast,0,Belfast,"Belfast, Northern Ireland, United Kingdom",54.58646,-5.90647,"Free parking,Wifi,Kitchen,Washer",21,4,1.0,2,2,4 guests,37,Entire condominium (condo),Entire home/apt,0,Entire condominium (condo),29,4.5, ,True,False,CANCEL_MODERATE,entire_home,True,97.0,97.0,0.75,nightly,0.0,https://www.airbnb.co.uk/rooms/47813471?&check_in=2022-02-15&check_out=2022-02-16
21278310,Modern 2 Bedroom Apartment Perfect For Business,Belfast,0,Belfast,"Belfast, Northern Ireland, United Kingdom",54.58252,-5.94428,"Wifi,Kitchen,Washer",20,4,1.5,2,2,4 guests,37,Entire condominium (condo),Entire home/apt,0,Entire condominium (condo),12,5.0, ,True,False,CANCEL_FLEXIBLE,entire_home,True,97.0,97.0,0.75,nightly,0.0,https://www.airbnb.co.uk/rooms/21278310?&check_in=2022-02-15&check_out=2022-02-16
